City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Bethel,US,41.3712,-73.414,44.04,92,20,4.61,mist
310,Zaysan,KZ,47.4667,84.8667,15.37,70,98,4.34,overcast clouds
311,Los Pozos,VE,8.4518,-62.7268,79.05,84,19,5.35,few clouds
312,Boa Vista,BR,2.8197,-60.6733,82.38,74,0,6.91,clear sky
313,Buin,CL,-33.7333,-70.75,80.74,39,95,3.11,overcast clouds
314,Roald,NO,62.5833,6.1333,35.91,87,75,3.44,light rain
315,Sistranda,NO,63.7256,8.834,33.91,68,100,10.18,light snow
316,Mwene-Ditu,CD,-7.0,23.45,65.34,97,98,3.2,overcast clouds
317,Pochutla,MX,15.7432,-96.4661,77.85,85,82,1.36,broken clouds
318,Kloulklubed,PW,7.0419,134.2556,84.7,78,100,18.88,overcast clouds
319,Charters Towers,AU,-20.1,146.2667,84.09,58,100,13.73,overcast clouds
320,Kaeo,NZ,-35.1,173.7833,80.33,67,62,7.52,broken clouds
321,Bilma,NE,18.6853,12.9164,63.95,20,100,5.97,overcast clouds
322,Poum,NC,-20.2333,164.0167,81.88,75,96,11.05,overcast clouds
323,Kuantan,MY,3.8077,103.326,78.91,89,20,9.22,few clouds
324,Oshnaviyeh,IR,37.0397,45.0983,12.45,69,6,3.6,clear sky
325,Progreso,MX,21.2833,-89.6667,75.31,68,0,12.39,clear sky
326,Zyryanka,RU,65.75,150.85,-24.75,98,99,4.56,overcast clouds
327,Banjar,ID,-8.19,114.9675,85.91,76,100,6.24,overcast clouds
328,Pangnirtung,CA,66.1451,-65.7125,12.24,70,9,6.8,clear sky
329,Erzin,TR,36.9559,36.2,46.92,64,5,4.97,clear sky
330,Lasa,IT,46.6166,10.7002,38.28,83,100,2.08,overcast clouds
331,Chornukhy,UA,50.2673,32.942,22.73,94,100,4.9,overcast clouds
332,Lamesa,US,32.7376,-101.951,61.86,27,100,10.71,overcast clouds
333,Eureka,US,40.8021,-124.1637,42.58,93,100,1.01,overcast clouds
334,Port Augusta,AU,-32.5,137.7667,81.72,28,0,18.41,clear sky
335,Auki,SB,-8.7676,160.7034,85.06,76,93,6.91,overcast clouds
336,Erenhot,CN,43.6475,111.9767,3.11,62,0,12.57,clear sky
337,Jilib,SO,0.4883,42.7854,74.39,94,82,3.83,broken clouds
338,Yulara,AU,-25.2406,130.9889,89.44,13,99,16.11,overcast clouds
339,College,US,64.8569,-147.8028,14.2,85,90,0.0,snow
340,Grass Valley,US,39.2191,-121.0611,40.53,96,90,3.0,mist
341,Ewa Beach,US,21.3156,-158.0072,80.55,55,20,15.01,few clouds
342,Lebu,CL,-37.6167,-73.65,58.08,87,0,19.33,clear sky
343,Raudeberg,NO,61.9875,5.1352,34.2,96,100,1.01,light snow
344,Ahipara,NZ,-35.1667,173.1667,75.29,61,25,3.44,scattered clouds
345,Lavrentiya,RU,65.5833,-171.0,12.47,88,100,1.63,overcast clouds
346,Kalanchak,UA,46.2562,33.2907,36.66,98,100,7.2,overcast clouds
347,Nazarovo,RU,56.0064,90.3914,2.44,89,100,4.25,overcast clouds
348,Belyy Yar,RU,53.6039,91.3903,-13.11,77,97,0.0,mist
349,Teliu,RO,45.6979,25.858,44.29,84,100,2.37,overcast clouds
350,Amboasary,MG,-25.0333,46.3833,75.04,84,84,8.23,broken clouds
351,Mehamn,NO,71.0357,27.8492,28.35,68,100,18.21,light snow
352,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,86,0,5.99,clear sky
353,Grindavik,IS,63.8424,-22.4338,34.27,86,75,19.57,snow
354,Elko,US,41.0002,-115.5012,35.62,82,100,2.73,overcast clouds
