City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
75,Tungor,RU,2021-12-22 02:17:39,53.3808,142.9564,3.25,90,100,21.47
76,Port Elizabeth,ZA,2021-12-22 02:14:19,-33.918,25.5701,66.09,96,89,3.6
77,Cabo San Lucas,MX,2021-12-22 02:17:40,22.8909,-109.9124,71.15,68,1,3.44
78,Pangnirtung,CA,2021-12-22 02:17:40,66.1451,-65.7125,26.11,80,75,12.41
79,Sept-Iles,CA,2021-12-22 02:17:02,50.2001,-66.3821,9.05,73,1,8.01
80,Aykhal,RU,2021-12-22 02:17:41,66.0,111.5,-20.76,100,85,2.19
81,Barrow,US,2021-12-22 02:17:41,71.2906,-156.7887,1.42,78,90,21.85
82,Nikolskoye,RU,2021-12-22 02:17:41,59.7035,30.7861,13.39,95,100,6.24
83,Esperance,AU,2021-12-22 02:17:42,-33.8667,121.9,74.93,52,11,11.99
84,Avarua,CK,2021-12-22 02:17:42,-21.2078,-159.775,80.65,69,40,12.66
85,Galle,LK,2021-12-22 02:17:43,6.0367,80.217,78.42,82,36,1.12
86,Zhanaozen,KZ,2021-12-22 02:18:43,43.3,52.8,36.46,94,100,8.95
87,Dores Do Indaia,BR,2021-12-22 02:18:43,-19.4633,-45.6017,68.14,82,5,1.74
88,Chama,CH,2021-12-22 02:18:44,47.1821,8.4636,31.89,93,90,3.44
89,Bethel,US,2021-12-22 02:18:44,41.3712,-73.414,39.92,76,90,3.44
90,Havre-Saint-Pierre,CA,2021-12-22 02:18:24,50.2334,-63.5986,14.0,67,1,23.02
91,Visby,SE,2021-12-22 02:17:50,57.6409,18.296,19.62,93,75,3.44
92,Xai-Xai,MZ,2021-12-22 02:18:44,-25.0519,33.6442,68.38,84,100,6.15
93,Coos Bay,US,2021-12-22 02:15:08,43.3665,-124.2179,51.15,96,90,9.22
94,Eureka,US,2021-12-22 02:14:55,40.8021,-124.1637,51.37,58,93,7.92
95,Pevek,RU,2021-12-22 02:18:45,69.7008,170.3133,-13.72,90,98,4.09
96,Ossora,RU,2021-12-22 02:18:45,59.2353,163.0719,18.1,94,100,15.21
97,Serebryansk,KZ,2021-12-22 02:18:46,49.6925,83.2892,8.15,97,100,5.57
98,Tooele,US,2021-12-22 02:18:46,40.5308,-112.2983,31.17,60,3,5.91
99,Canilla,GT,2021-12-22 02:18:46,15.1667,-90.85,69.44,98,100,2.98
100,Luderitz,NA,2021-12-22 02:18:46,-26.6481,15.1594,57.74,90,0,1.39
101,Xinpu,CN,2021-12-22 02:18:47,34.5997,119.1594,48.6,63,0,3.47
102,Olafsvik,IS,2021-12-22 02:18:47,64.8945,-23.7142,35.08,68,100,15.39
103,Coquimbo,CL,2021-12-22 02:18:47,-29.9533,-71.3436,60.53,88,0,6.91
104,Olinda,BR,2021-12-22 02:18:48,-8.0089,-34.8553,82.13,74,40,6.91
105,Maddur,IN,2021-12-22 02:18:48,12.6,77.0667,64.04,81,6,2.08
106,Palmer,US,2021-12-22 02:18:48,42.1584,-72.3287,32.63,82,75,0.0
107,Codrington,AU,2021-12-22 02:18:49,-38.2667,141.9667,64.2,52,25,12.12
108,Bima,ID,2021-12-22 02:18:49,-8.4667,118.7167,87.28,69,100,3.0
109,Haines Junction,CA,2021-12-22 02:18:49,60.7522,-137.5108,3.2,95,52,4.09
110,Chaihe,CN,2021-12-22 02:16:08,44.7667,129.7,-3.17,82,13,2.46
111,Hobart,AU,2021-12-22 02:18:50,-42.8794,147.3294,65.26,45,75,1.99
112,Ruteng,ID,2021-12-22 02:18:50,-8.6136,120.4721,77.52,59,100,3.33
113,New Norfolk,AU,2021-12-22 02:18:50,-42.7826,147.0587,64.92,41,25,5.99
114,Mango,US,2021-12-22 02:18:51,27.9797,-82.3065,65.08,93,90,13.8
115,Hirara,JP,2021-12-22 02:18:51,24.8,125.2833,79.07,89,75,11.5
116,Sitka,US,2021-12-22 02:18:51,57.0531,-135.33,39.09,52,75,14.97
117,Katobu,ID,2021-12-22 02:18:52,-4.9408,122.5276,75.45,93,100,5.32
118,Te Anau,NZ,2021-12-22 02:18:52,-45.4167,167.7167,54.86,89,100,5.82
119,Cap-Aux-Meules,CA,2021-12-22 02:18:52,47.3821,-61.8597,26.65,63,40,24.16
120,Iqaluit,CA,2021-12-22 02:18:53,63.7506,-68.5145,1.13,85,75,31.07
121,Mar Del Plata,AR,2021-12-22 02:18:53,-38.0023,-57.5575,70.09,94,0,1.01
122,Arman,RU,2021-12-22 02:18:53,59.7,150.1667,1.35,76,100,10.63
123,Pangkalanbuun,ID,2021-12-22 02:18:54,-2.6833,111.6167,84.31,72,100,0.31
124,Povenets,RU,2021-12-22 02:18:54,62.8487,34.8262,7.57,97,87,5.77
125,Kasongo,CD,2021-12-22 02:18:54,-4.45,26.6667,67.98,97,100,1.34
126,Tuatapere,NZ,2021-12-22 02:18:54,-46.1333,167.6833,59.83,77,80,8.52
127,Meiktila,MM,2021-12-22 02:18:55,20.8667,95.8667,70.14,63,46,2.95
128,West Haven,US,2021-12-22 02:18:55,41.2706,-72.9471,41.32,82,90,3.44
